epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.18481,1.52374,5.33583,1.46618,0.68994,0.23889,0.17342,0.11889,1.09784,5.2776,1.13323,7.272e-05,7.272e-05,7.272e-05
2,9.92922,1.13811,1.92968,1.1176,0.70584,0.77857,0.82111,0.60949,0.94815,2.69151,1.00663,0.00015402,0.00015402,0.00015402
3,14.3802,1.05089,1.12371,1.07659,0.93939,0.95375,0.97138,0.74004,0.9929,1.04324,1.05155,0.00023478,0.00023478,0.00023478
4,18.8319,1.02279,0.94789,1.0769,0.95536,0.98605,0.9883,0.7491,0.98149,1.03779,1.09155,0.000315,0.000315,0.000315
5,23.2335,1.01382,0.78623,1.10513,0.93059,0.97385,0.98002,0.754,0.99734,0.82778,1.14168,0.000394681,0.000394681,0.000394681
6,27.4588,1.00966,0.70975,1.06418,0.81582,0.98435,0.91978,0.67543,1.06341,1.96835,1.21878,0.000473821,0.000473821,0.000473821
7,31.536,0.98724,0.65912,1.06252,0.95416,0.97395,0.98466,0.719,1.11164,0.78182,1.30332,0.000552421,0.000552421,0.000552421
8,35.5775,0.95071,0.65369,1.08079,0.93902,0.99294,0.97843,0.71038,1.06767,0.58405,1.2357,0.000630481,0.000630481,0.000630481
9,39.6025,0.94818,0.61969,1.05737,0.93207,0.97158,0.97898,0.71602,1.20627,0.66988,1.41802,0.000708002,0.000708002,0.000708002
10,43.5707,0.94131,0.60418,1.04951,0.86237,0.89834,0.97177,0.668,1.36647,0.88013,1.58046,0.000784982,0.000784982,0.000784982
11,47.7172,0.90951,0.55739,1.04059,0.92625,0.95946,0.97838,0.65823,1.39008,0.83876,1.59958,0.000861423,0.000861423,0.000861423
12,51.8662,0.91768,0.57888,1.05095,0.91821,0.98089,0.98058,0.65479,1.31949,0.77192,1.513,0.000876003,0.000876003,0.000876003
13,55.99,0.95333,0.57628,1.04737,0.90464,0.96243,0.97317,0.65596,1.31574,0.75387,1.46924,0.000873004,0.000873004,0.000873004
14,60.1453,0.94435,0.5492,1.04298,0.94267,0.98094,0.97404,0.70305,1.09699,0.57911,1.28675,0.000870004,0.000870004,0.000870004
15,64.3156,0.87636,0.51096,1.00863,0.93627,0.9863,0.97515,0.71691,1.12451,0.58446,1.33238,0.000867004,0.000867004,0.000867004
16,68.4559,0.92251,0.53546,1.0493,0.95696,0.99224,0.98411,0.73619,1.08763,0.47848,1.29282,0.000864004,0.000864004,0.000864004
17,72.5681,0.89035,0.51315,1.0381,0.95516,0.97675,0.9862,0.7188,1.17706,0.49423,1.42053,0.000861005,0.000861005,0.000861005
18,76.681,0.91005,0.53281,1.00687,0.94458,0.98775,0.97578,0.70767,1.10671,0.51108,1.33915,0.000858005,0.000858005,0.000858005
19,80.8282,0.90827,0.52976,1.03112,0.93671,0.99658,0.97727,0.73834,1.12448,0.52664,1.35211,0.000855005,0.000855005,0.000855005
20,84.9894,0.89048,0.51068,1.03607,0.92101,0.96366,0.98648,0.70515,1.24905,0.68542,1.47902,0.000852006,0.000852006,0.000852006
21,89.1881,0.86328,0.504,1.02408,0.95001,0.96525,0.97237,0.71572,1.11487,0.61842,1.27524,0.000849006,0.000849006,0.000849006
22,93.3579,0.87028,0.48201,1.00748,0.93277,0.97207,0.97088,0.72246,1.12681,0.58592,1.31895,0.000846006,0.000846006,0.000846006
23,97.5843,0.83034,0.49455,0.99685,0.94219,0.99418,0.97716,0.72465,1.09508,0.48308,1.29457,0.000843007,0.000843007,0.000843007
24,101.83,0.84456,0.50038,1.02211,0.93952,0.97315,0.97508,0.71496,1.10131,0.55452,1.37283,0.000840007,0.000840007,0.000840007
25,105.937,0.84679,0.48817,1.01506,0.93449,0.98723,0.9841,0.73454,1.08103,0.46593,1.28223,0.000837007,0.000837007,0.000837007
26,110.125,0.85115,0.46768,1.01696,0.9562,1,0.98729,0.71048,1.13623,0.47619,1.31089,0.000834007,0.000834007,0.000834007
27,114.274,0.83199,0.49497,1.04211,0.95319,0.99979,0.98956,0.72988,1.10756,0.45296,1.25358,0.000831008,0.000831008,0.000831008
28,118.464,0.83368,0.52145,1.01048,0.94778,1,0.9771,0.72135,1.05375,0.4854,1.26929,0.000828008,0.000828008,0.000828008
29,122.546,0.82813,0.48084,1.01441,0.93749,1,0.97621,0.7231,1.06689,0.45269,1.2595,0.000825008,0.000825008,0.000825008
30,126.747,0.84772,0.47229,0.99337,0.92907,1,0.97351,0.71942,1.08467,0.49304,1.28711,0.000822009,0.000822009,0.000822009
31,130.896,0.82735,0.49764,0.99263,0.93585,1,0.97537,0.73773,0.98561,0.4708,1.15713,0.000819009,0.000819009,0.000819009
32,135.036,0.805,0.46619,0.99034,0.94729,0.99761,0.98633,0.72286,1.13309,0.49023,1.33044,0.000816009,0.000816009,0.000816009
33,139.143,0.81221,0.46869,0.98952,0.91292,0.98374,0.98182,0.74205,1.05199,0.50244,1.2574,0.00081301,0.00081301,0.00081301
34,143.229,0.81039,0.47245,0.99156,0.94275,0.99738,0.97619,0.73944,0.99517,0.46354,1.21458,0.00081001,0.00081001,0.00081001
35,147.481,0.8209,0.44987,0.98629,0.94659,0.99671,0.97496,0.72722,1.08872,0.43594,1.35022,0.00080701,0.00080701,0.00080701
36,152.451,0.8022,0.45541,1.00769,0.94042,0.99286,0.98461,0.74995,0.96891,0.43858,1.20069,0.00080401,0.00080401,0.00080401
37,156.987,0.81064,0.45206,1.01618,0.9401,0.95353,0.97531,0.71663,1.1787,0.52433,1.41282,0.000801011,0.000801011,0.000801011
38,161.178,0.81219,0.45205,0.98432,0.93333,0.95388,0.97467,0.73556,1.02807,0.5207,1.24646,0.000798011,0.000798011,0.000798011
39,165.379,0.82466,0.46095,1.00903,0.91689,0.94858,0.97011,0.74846,1.02238,0.49269,1.29594,0.000795011,0.000795011,0.000795011
